Comoros,COM,Africa,0.162368163,0.186303697,0.233729158,0.27166414,0.237891334,0.26019698,0.29481448,0.367616168,0.386442082,0.404558352
"Congo, Dem. Rep.",COD,Africa,0.088363915,0.033527838,0.03986035,0.053906873,0.067599923,0.041064418,0.029718421,0.033814538,0.035826095,0.035703604
"Congo, Rep.",COG,Africa,1.341474406,1.387989266,1.116001149,1.103961695,1.049574509,1.117608304,1.060379145,1.018383584,1.192781808,1.303239669
Costa Rica,CRI,North America,0.908730238,1.243970825,1.572860452,1.623696834,1.616336585,1.540271137,1.63390596,1.654037158,1.66047244,1.620601418
Cote d'Ivoire,CIV,Africa,0.227529566,0.386317112,0.365276687,0.386750453,0.400077311,0.415735394,0.39605806,0.424983645,0.399702062,0.414187926
Croatia,HRV,Europe,4.257574464,4.037327826,4.079616457,3.997002654,3.831644469,3.948992432,4.043744105,4.221085948,4.019234669,4.063707833
Cuba,CUB,North America,3.351940587,2.552722269,2.536852493,2.549997738,2.355271735,2.575861739,2.395518544,2.314666755,2.357823427,2.289537296
Cyprus,CYP,Asia/Europe,5.821179455,7.519217242,6.138915802,5.510005269,5.785920877,5.769489846,6.027309716,6.090078661,5.907299543,5.851065608
Czechia,CZE,Europe,14.53545339,12.01065269,10.09153928,9.620257259,9.264302843,9.400668002,9.627750042,9.611647341,9.492068199,9.022786158
Denmark,DNK,Europe,10.13239021,9.850895645,6.835287325,7.116737849,6.347153074,5.929462754,6.166190299,5.746767737,5.718343553,5.107988509
Djibouti,DJI,Africa,0.46779735,0.498630115,0.523945899,0.576278131,0.404413369,0.457138777,0.410452452,0.403755684,0.378358648,0.391063625
Dominica,DMA,North America,0.86354543,1.902086443,3.629079085,2.470248068,2.594744305,2.571171556,2.56867652,2.414669855,2.400350194,2.380019065
Dominican Republic,DOM,North America,1.102538307,2.185980198,2.161325425,2.096080931,2.086146747,2.266997983,2.335766826,2.211839912,2.35102193,2.502324464
Ecuador,ECU,South America,1.475621103,1.746326201,2.395393982,2.524965244,2.619376799,2.56361149,2.421594059,2.308805685,2.359001713,2.265370728
"Egypt, Arab Rep.",EGY,Africa,1.533698636,1.605825955,2.356412911,2.290263794,2.292234208,2.315505548,2.31730464,2.379717623,2.389706724,2.361040835
El Salvador,SLV,North America,0.443435928,0.944871529,1.098796044,1.044354012,1.061272656,1.123403283,1.147106408,1.018087182,1.085026906,1.241995331
Equatorial Guinea,GNQ,Africa,0.128880096,3.240984734,8.226963408,7.379771472,6.107244959,4.877603465,4.760791555,3.998086565,4.280699257,3.444876441
Eritrea,ERI,Africa,NaN,0.267460132,0.190616973,0.194153135,0.195581358,0.194610422,0.196119982,0.211955911,0.246707621,0.25151351
Estonia,EST,Europe,22.4831663,10.68014331,12.7693736,14.65860673,13.64730803,11.81383402,12.15239497,12.68422805,11.58870366,7.672029278
Eswatini,SWZ,Africa,0.655729259,0.669580474,0.611816706,0.67064943,0.666154468,0.679050653,0.735214292,0.772978735,0.784193441,0.820784292
Ethiopia,ETH,Africa,0.048247556,0.053109068,0.089781732,0.103827221,0.123713286,0.125790592,0.142174388,0.146213488,0.15513441,0.160882449
Fiji,FJI,Oceania,0.884127981,0.972962454,1.130552436,1.23706419,1.408973701,1.504579149,1.655104507,1.79539267,1.773674744,1.774700174
Finland,FIN,Europe,10.94169357,10.64485611,9.126387978,9.22784648,8.451871908,7.814537356,8.316193077,7.810154155,8.082639791,7.372854761
France,FRA,Europe,6.137338876,6.124614634,5.153951699,5.129519032,4.616052854,4.677807228,4.70474678,4.749542598,4.572030089,4.459547465
Gabon,GAB,Africa,4.17078659,4.776363286,3.048938128,3.043802346,3.030218312,3.016982301,3.077356731,2.490403966,2.335753584,2.340839626
"Gambia, The",GMB,Africa,0.182584162,0.166951992,0.223191113,0.207071588,0.237549323,0.235228001,0.228723718,0.226778139,0.224956609,0.23117857
Georgia,GEO,Asia/Europe,6.974177426,1.169940333,1.928196034,2.108848922,2.277240519,2.469615623,2.588862958,2.609975618,2.568059536,2.717624226
Germany,DEU,Europe,12.02660923,10.09931602,9.451317705,9.62420735,9.088506897,9.087290909,9.073006686,8.858293847,8.536196091,7.911621016
Ghana,GHA,Africa,0.180617806,0.291881692,0.543956555,0.5678351,0.535175506,0.546570367,0.543744838,0.562830149,0.605105683,0.635740643
Greece,GRC,Europe,7.416057913,8.741595261,7.251237354,6.609996229,6.385178661,6.28506954,6.203617147,6.211250289,6.0580184,5.59618907
